date,bitcoin,ethereum,solana,ripple,cardano
2024-11-07 00:00:00,1496392703840.9058,327447580506.6538,88185066303.67917,30863600008.502956,12981104807.626707
2024-11-08 00:00:00,1502620808927.6982,348640981227.00085,92394882481.30789,31525433833.759197,14391246812.635403
2024-11-09 00:00:00,1514048743889.1255,356482981903.24994,94211532387.97975,31512175151.99012,15879786762.745052
2024-11-10 00:00:00,1519470275068.1016,376942816358.42664,94841594020.38661,31836113890.61354,17405034989.691643
2024-11-11 00:00:00,1590846468754.067,384143201744.36383,99044422018.77545,33489525846.208927,21024854839.87751
2024-11-12 00:00:00,1756619702929.0437,407462829811.2162,105178890848.891,35253524705.02781,21992679939.444138
2024-11-13 00:00:00,1741113172482.1243,392233485413.7434,100554180075.78313,40525483376.80065,20611561493.029778
2024-11-14 00:00:00,1790737763695.3328,384320615296.6757,101553234625.10576,39323944238.49297,20707050864.589024
2024-11-15 00:00:00,1726797438787.217,367484509623.6447,98608091950.04749,43890734442.8388,20620858872.466827
2024-11-16 00:00:00,1799276211921.9302,372487751993.49884,103343063143.62659,50684897337.31935,24860880015.725594
2024-11-17 00:00:00,1790415769635.4927,376904025324.19116,101970934386.94557,63977542700.94049,26346062209.769974
2024-11-18 00:00:00,1776887033229.9082,370225690651.5099,112583245508.81412,60359853822.81238,25133152050.988632
2024-11-19 00:00:00,1790917617392.4407,386129534586.85486,113790106211.8517,63688503912.77327,26342845055.7922
2024-11-20 00:00:00,1825195454018.501,374925759373.2606,112928994362.1699,62700374445.7609,26431575432.630917
2024-11-21 00:00:00,1862618759426.145,370266265216.9245,112008978842.06454,63050379292.97722,28772128081.481377
2024-11-22 00:00:00,1948284556982.0486,405284044226.11957,122060813280.85324,69932142127.89014,29263235932.69351
2024-11-23 00:00:00,1958091000957.8345,400787854559.3274,121664259170.88939,83112386522.4217,35938316596.75111
2024-11-24 00:00:00,1931255637661.502,408448492183.1955,120859540109.97667,83300744233.09833,37995867804.11106
2024-11-25 00:00:00,1939446484727.4285,405718851021.4928,120502230128.64162,81614292718.7067,36730492655.154526
2024-11-26 00:00:00,1838788677873.8657,411314588853.17755,111344542068.44252,80506265953.6803,33855152913.243694
2024-11-27 00:00:00,1819990514406.0881,400706261382.18384,109620678337.06673,79759951140.23747,34323258762.167927
2024-11-28 00:00:00,1899088665519.225,441632729137.7082,115105327487.59502,83883091379.35777,36252927449.637505
2024-11-29 00:00:00,1892297852304.72,431207272220.64014,112826136421.60674,87107084090.89493,36943407363.53188
2024-11-30 00:00:00,1926826079390.2441,433361301691.3607,115695831971.57478,103191548907.76518,38639286783.73906
2024-12-01 00:00:00,1910022814269.8855,446851521665.9131,113136826188.84282,110604358349.34161,38662755540.67341
2024-12-02 00:00:00,1925808416477.5068,446664514864.58777,112858141484.31874,130208395250.7976,41005304249.43712
2024-12-03 00:00:00,1896576914275.523,438825980701.30023,107159640532.60336,154571837988.4362,42929048816.169815
2024-12-04 00:00:00,1900922167493.3643,436691206026.36835,111849188040.85468,144192803084.12503,42969786460.67669
2024-12-05 00:00:00,1957276192604.2603,462490222624.56714,108895156641.66345,133851646266.63329,42349997240.399826
2024-12-06 00:00:00,1920742551503.6094,457067221118.4413,112780864777.68202,128679678709.415,41761272812.61363
2024-12-07 00:00:00,1978389972043.7947,483422504163.839,112628691231.92856,137876201991.56064,44189030694.178734
2024-12-08 00:00:00,1974739091620.7542,481889176555.6843,113839345705.58537,148089387443.7888,43485669123.33586
2024-12-09 00:00:00,2003238967638.8286,483642898147.5037,113135754973.99297,149556382944.37164,42885476562.37067
2024-12-10 00:00:00,1926047690157.6282,446571271919.9886,103658784770.72432,126541301099.97853,35975470613.31738
2024-12-11 00:00:00,1913115778728.2837,436749626813.98615,101631048226.2473,134366804425.19778,36406284690.12914
2024-12-12 00:00:00,2001746436338.842,461075934206.2153,108729401497.31157,137137516260.63844,38964602897.82832
2024-12-13 00:00:00,1979166149963.3093,466883095805.38696,108699878063.44142,134039705285.1272,40206128332.3021
2024-12-14 00:00:00,2005406021235.8357,470469907671.53613,107552367996.59578,138341252309.82007,39991134369.1031
2024-12-15 00:00:00,2007646386698.8667,465713274663.6432,105315505829.8883,137201303559.24551,37963590469.38818
2024-12-16 00:00:00,2075487816560.1924,477323245356.1555,107667694926.24757,140694946111.10138,39691680715.70685
2024-12-17 00:00:00,2097460193710.789,480940541314.61334,103890617385.6761,142688879208.51086,38745135408.73237
2024-12-18 00:00:00,2100629850064.9119,467508439297.98755,106838498036.11574,146207554966.0596,37602480013.476326
2024-12-19 00:00:00,1985284833093.572,436893612673.4018,98187529554.2457,131273275335.39302,34737600112.46145
2024-12-20 00:00:00,1937022229972.2085,413858693686.69867,93450456552.31743,129714340650.10556,31782678364.00243
2024-12-21 00:00:00,1932373308116.0107,417562064054.3703,92885810388.18964,129981103119.06401,34009403993.442554
2024-12-22 00:00:00,1922768195068.165,401314595520.45166,86608023116.47685,127675851842.47113,32347333228.842308
2024-12-23 00:00:00,1884599149192.4587,394984656581.5222,86503599316.97266,126002620224.90738,31642202715.503292
2024-12-24 00:00:00,1874912975786.6604,411423031050.5532,91042236757.00714,129118625050.65549,33052194008.211617
2024-12-25 00:00:00,1951173788529.116,420708095541.6798,94580217212.31563,133008444957.98181,33537004610.047367
2024-12-26 00:00:00,1966481159354.1177,421029544401.6013,94663647605.30154,131574173973.22885,32863705684.99487
2024-12-27 00:00:00,1894744251986.1084,401038436756.22626,90223406707.14066,123818838011.45384,30811560138.83137
2024-12-28 00:00:00,1867708753554.924,400705550098.4306,88113693164.8477,122935306457.48709,31327645362.07626
2024-12-29 00:00:00,1885556552231.4314,409451576910.996,93472385728.09871,125229822421.2995,31824025510.76384
2024-12-30 00:00:00,1854872605738.8086,404459649875.75726,91097223580.56879,120314515334.02428,30776366650.470432
2024-12-31 00:00:00,1833188187477.531,404631151447.3196,91400962709.76645,117950842451.00076,30753991424.009167
2025-01-01 00:00:00,1851839954625.13,401972899891.29846,91478338043.51134,119440097047.7968,30266612410.917095
2025-01-02 00:00:00,1869193319140.2422,403374380145.697,93458487148.00087,132989230251.90656,32744580750.79023
2025-01-03 00:00:00,1917905016063.62,415300548992.1061,100434907190.98921,138114900580.5372,34480834161.062225
2025-01-04 00:00:00,1942834829349.9563,434290507752.4077,105094794982.75977,140904684872.33817,39147825603.58425
2025-01-05 00:00:00,1946611205641.351,441117087325.0027,104689355900.12187,139171492627.42844,38453818208.48556
2025-01-06 00:00:00,1948339898718.8586,438092711283.22925,103130316780.37645,138016718840.73596,39231354061.090355
2025-01-07 00:00:00,2024825178619.8228,444015369643.70074,105522704111.37778,138948192568.01584,39227241393.95025
2025-01-08 00:00:00,1919133187081.3127,406968109533.227,97995322629.92308,130820594444.53995,35617993237.24092
2025-01-09 00:00:00,1885313354913.7239,400602495132.5278,95682675885.83002,136415155142.45451,34053934094.325855
2025-01-10 00:00:00,1832933628117.9436,388324291231.471,89422935371.9058,131013170943.18855,32538675410.18652
2025-01-11 00:00:00,1876836759923.398,394101246876.45374,90863602526.64655,134623347999.18698,33427260810.72387
2025-01-12 00:00:00,1874286243377.8525,395839071861.3172,91151211516.5533,148073207239.45142,35743211320.13196
2025-01-13 00:00:00,1870314882306.9236,393199349088.32996,91207532007.52103,143972439143.77383,34751403885.28644
2025-01-14 00:00:00,1870609367804.8223,377643507549.0125,88705877704.07474,144973001160.1348,33892220057.310505
2025-01-15 00:00:00,1912603332624.1123,388487746270.3852,90966038336.3823,153183275031.40637,35662574859.58581
2025-01-16 00:00:00,1986831430651.8647,415058425772.0614,99617521322.55345,182346998821.3068,38923764152.820564
2025-01-17 00:00:00,1980935754458.284,398587196539.9218,102762327812.58186,186758698075.1875,39112613364.03422
2025-01-18 00:00:00,2063854663834.0774,419024911827.7939,106975781135.88028,190386076856.00772,40804520589.32463
2025-01-19 00:00:00,2067151195362.0425,398761138447.4049,127785165817.10095,188798080040.87268,39484505228.01884
2025-01-20 00:00:00,2014842808849.5005,388676714260.872,122020537308.0902,171067792033.8191,35741621714.614426
2025-01-21 00:00:00,2017837068202.1384,393073139255.5516,118038765211.23405,178304533111.39474,36108627003.68527
2025-01-22 00:00:00,2098829000928.49,400135429379.4123,121552327585.60405,182080583719.03888,36008517693.525055
2025-01-23 00:00:00,2054288661793.9773,390083338462.87006,124606314246.36227,182211918798.90054,35175703118.009155
2025-01-24 00:00:00,2062360759045.0,401547418905.6495,123417388987.169,179846211928.48206,35453833332.322586
2025-01-25 00:00:00,2076156720642.786,398942774193.46027,123361234528.28262,178687952164.23227,34822616805.342
2025-01-26 00:00:00,2077647817531.3406,400427749273.5654,125148284070.78894,179333230200.2371,35108848393.8826
2025-01-27 00:00:00,2036324005947.406,390058879989.8578,117303806305.96823,174315205302.41763,34268966278.076263
2025-01-28 00:00:00,2019295541213.5288,382221069555.6103,114276592039.16579,175549811985.1664,33488600391.781376
2025-01-29 00:00:00,2007072201507.5273,370532757630.7433,110398046173.44064,176293961831.06848,32866622865.563606
2025-01-30 00:00:00,2056581551171.7,375574817164.75665,111355015372.82307,177065119441.67078,33847728508.876877
2025-01-31 00:00:00,2076760153260.6191,391509879851.78656,116559779515.8497,180743899111.4196,34498529795.72678
2025-02-01 00:00:00,2028504133577.489,396910231325.1062,112643737226.91638,175326105898.6084,33831177451.99314
2025-02-02 00:00:00,1996423711261.7268,376840076476.98303,104469275144.33444,166457043070.02295,32282111416.230274
2025-02-03 00:00:00,1933691439792.2544,344091054313.7205,98398368500.85646,147851780048.77136,28509781209.636086
2025-02-04 00:00:00,2011121374511.8835,346820394641.11206,105205583844.172,155372328311.50732,29064020846.772465
2025-02-05 00:00:00,1943535291172.1597,329090090858.6241,100802812440.85353,146391101372.16553,26783921617.714703
2025-02-06 00:00:00,1912584628590.309,335828291113.4543,95550201539.32951,137388137146.75491,26322682307.40791
2025-02-07 00:00:00,1915093756057.5637,323756512126.7498,92031851837.88425,134102194064.824,25206944915.247795
2025-02-08 00:00:00,1911296376425.356,315636240722.9841,93773950310.2403,137991646571.74292,25337871264.321705
2025-02-09 00:00:00,1914211835440.1182,317758860998.56256,97430610890.80075,140105845431.88702,25218641928.38805
2025-02-10 00:00:00,1913068773356.083,317369673472.60657,97797330676.8804,138409786399.36917,24513353771.6781
2025-02-11 00:00:00,1930742951090.367,320711545303.1932,97602797576.9777,139801386331.32983,25464206476.94957
2025-02-12 00:00:00,1898788887978.3252,313943237177.0695,96650663515.04695,139710665798.44403,28010657344.561317
2025-02-13 00:00:00,1936842454813.9983,329492522913.44,95802342588.48465,142635962453.91898,28633691211.721535
2025-02-14 00:00:00,1914315097486.3862,322584072350.2765,94843692266.1009,147228408835.623,29106844488.176685
2025-02-15 00:00:00,1931656846871.4856,328399065363.05505,97468827982.87822,158349869676.88498,28746321360.080658
2025-02-16 00:00:00,1934308378710.2861,324625278431.52954,94916725048.10495,159697712640.8593,28066250054.163837
2025-02-17 00:00:00,1905012222220.3691,320529173059.00665,91860796549.96172,157590298702.77087,27700824921.361584
2025-02-18 00:00:00,1898997753781.9536,330464530098.92377,86934660078.68405,153528550403.44104,28992928634.454105
2025-02-19 00:00:00,1892702154844.508,321688672383.7524,82487856965.56555,147965082000.5594,27071231776.918564
2025-02-20 00:00:00,1914337919659.5537,327248168186.7616,82688920914.07486,158268061805.8835,27737590088.5846
2025-02-21 00:00:00,1950376106325.3228,330517520397.0965,86011244818.54909,155803376373.91476,28905459004.53705
2025-02-22 00:00:00,1906058197506.3809,320508273451.5576,82609623068.92926,148872353458.57578,27373879907.036762
2025-02-23 00:00:00,1915260330870.798,333381856893.82196,84180442889.18811,149186293144.36478,27839353694.895298
2025-02-24 00:00:00,1909625674815.4763,340712999974.1412,82111049206.9718,149332625214.34015,27687540750.88118
2025-02-25 00:00:00,1814176779160.4363,301769340440.05,69785445476.4441,131520287326.65497,24410169191.331997
2025-02-26 00:00:00,1759750360550.3337,301064649480.5458,71703011109.95712,134627197923.42966,24560114281.617443
2025-02-27 00:00:00,1664314955447.7466,280668025121.2334,67080997138.50677,126766064785.14323,23183305183.623463
2025-02-28 00:00:00,1679555320077.2097,277936135130.74036,68562002291.54892,127370369245.55621,23220098443.23013
2025-03-01 00:00:00,1674754437110.342,269516471615.1616,73865234147.56163,124392769084.65245,22791584461.913403
2025-03-02 00:00:00,1705564098300.8237,266823935338.2421,72725965137.73221,126879303287.73642,23630356571.081604
2025-03-03 00:00:00,1868321705444.4878,303306117779.7704,90446325718.02034,169870381405.5461,40472166586.52675
2025-03-04 00:00:00,1708198960874.3418,259111889993.75626,72549477478.20894,138435194914.58316,30799224328.46031
2025-03-05 00:00:00,1731441668069.6523,261805780842.5489,73677404621.18243,142402404085.68878,33919761564.640938
2025-03-06 00:00:00,1797706868227.531,270490243838.00568,74254605878.29288,144939887560.6096,35109293105.75561
2025-03-07 00:00:00,1782785866811.654,265270135615.0983,72855104265.59047,150505175945.87762,32617678786.52462
2025-03-08 00:00:00,1720436931689.2776,257899503839.8083,70789658072.88582,138185297003.6274,29359693731.836388
2025-03-09 00:00:00,1708605516770.228,265129957012.69815,69641393306.39473,134862079473.84915,28882396287.35148
2025-03-10 00:00:00,1602073794580.0344,243298514477.01385,64443868119.22886,124005386868.27167,25933534840.21667
2025-03-11 00:00:00,1563547150147.7332,226713493940.29108,60550984692.33613,118387557436.81892,24252710350.12148
2025-03-12 00:00:00,1642997419531.6057,232024934655.6445,63868692267.70004,125957593301.54716,26002378264.908184
