date,bitcoin,ethereum,solana,ripple,cardano
2024-10-08 00:00:00,33878876147.30253,16943828822.371426,3411951971.0080686,1457223446.3666434,325165438.4848151
2024-10-09 00:00:00,28626429276.55382,13601054198.545612,2021753886.7147253,981211616.0414958,279076786.92096597
2024-10-10 00:00:00,28530748117.898792,14384326799.317202,2070835887.6785858,988344201.3982462,293734918.3103856
2024-10-11 00:00:00,29481971885.649742,14686776834.298496,2066229153.7766125,1432557077.6123195,242902644.31599545
2024-10-12 00:00:00,32008659336.482643,13097241431.234644,2171464128.91537,1190815208.1062524,241728188.27564937
2024-10-13 00:00:00,17665963646.417107,8538997411.470292,1342624320.0323367,645446626.8989004,190575001.33778286
2024-10-14 00:00:00,16784552979.060463,7516544091.44527,1681570122.0230145,722573856.9859535,228691731.28123942
2024-10-15 00:00:00,46553796134.14602,21502937840.286705,3436470403.8856783,1242900975.6585948,371044074.39071107
2024-10-16 00:00:00,51797932876.82809,21986428173.14599,4033304497.2522097,1367435532.1191251,507364293.6551608
2024-10-17 00:00:00,40640495380.19594,16135687550.25065,2755639617.513603,1323767637.0882344,332305648.9161826
2024-10-18 00:00:00,34512072357.92087,14330391810.475258,2717600021.312216,1540201676.826673,351907156.1227408
2024-10-19 00:00:00,39984956633.228035,16301885114.203026,2035291815.7684128,1179631857.7752745,268208657.9185624
2024-10-20 00:00:00,14110889435.452631,7337169826.464913,1863265086.5618672,607926219.2223777,220371774.74586606
2024-10-21 00:00:00,17253863432.786995,12697856633.571321,3153223457.134059,716137205.8632469,248872926.31750047
2024-10-22 00:00:00,40485496091.95008,17340865615.868176,4851472927.708045,1687139598.4189222,369418680.26695573
2024-10-23 00:00:00,31398389967.38113,15418370745.51069,4409925954.917367,1413784341.5111709,377482287.85597116
2024-10-24 00:00:00,32676918488.059,19004341635.326817,4820717293.719623,1131889382.0732894,375412261.155899
2024-10-25 00:00:00,35892606570.03549,16708110976.636312,4352868535.962914,1105162964.2092311,366345461.99209297
2024-10-26 00:00:00,48426924850.053406,23734197478.807434,6060843280.997682,1539105236.2092319,545468841.6908028
2024-10-27 00:00:00,21169467789.89267,13434262241.34632,3465680935.5464296,746298139.3435653,318987630.27263165
2024-10-28 00:00:00,16533385730.434193,8656317174.654642,3262906486.5268407,515723360.5019684,206151897.35599738
2024-10-29 00:00:00,41990540384.96554,19560694034.693996,4573928546.776399,883022544.7410569,340339901.5348519
2024-10-30 00:00:00,65487782004.97014,22541317733.245987,4626744759.960895,1258508083.114544,399625481.43826395
2024-10-31 00:00:00,43498144313.67304,22790792400.863556,3787670946.354799,981528954.6185482,378785879.7797121
2024-11-01 00:00:00,45907074188.570145,20097565241.562813,3406710809.991008,1131354676.4350793,343987966.406424
2024-11-02 00:00:00,54863092261.31101,20396109310.40712,3797335906.931423,1355947931.230893,471854642.81477237
2024-11-03 00:00:00,14709379754.965973,8253307127.229915,1957197289.8022513,498091504.1066253,309349316.6693163
2024-11-04 00:00:00,37659435506.757034,14546539750.496363,3328092038.7950063,949812735.3091639,360925330.5066394
2024-11-05 00:00:00,46183110993.79166,17316680977.698635,3431380035.9552183,1127632654.5137217,345035678.68431234
2024-11-06 00:00:00,40025021601.49395,18024855703.904736,4231343887.3657613,1210224258.0575829,320831265.94092965
